,trade_date,open,high,low,close,volume,Z_close,Z_open,Z_high,Z_low,signal,reward
1092,2022-09-28,3089.098,3089.098,3044.864,3045.067,23009865000,-1.6732591069221396,-1.4426437849958855,-1.4426437849958855,-1.6743223330662431,2.0,-0.6423832382013273
1093,2022-09-29,3067.473,3076.762,3026.079,3041.205,23003041600,-1.6792715112898464,-1.5417975178803434,-1.493183389481497,-1.758433671496642,2.0,-0.8170774413431392
1094,2022-09-30,3042.166,3054.613,3021.931,3024.391,20411533600,-1.7516703469116512,-1.6587758924884342,-1.5937262568087862,-1.764526625836046,2.0,1.5737383162428342
1095,2022-10-10,3026.935,3029.448,2968.281,2974.145,24340482800,-1.9918710395459245,-1.717260975195495,-1.7041885165534678,-2.022375177021789,2.0,3.7253395513668686
1096,2022-10-11,2978.062,2986.912,2953.495,2979.793,20863595000,-1.941594229505884,-1.9505627223941189,-1.9047099424629428,-2.077846930820019,2.0,3.3950009279168025
1097,2022-10-12,2976.717,3025.506,2934.092,3025.506,24801355700,-1.689485308132688,-1.941837897863766,-1.689485308132688,-2.1623082730976764,2.0,0.623763429984936
1098,2022-10-13,3008.302,3036.249,3004.496,3016.356,24968328100,-1.7214856829452638,-1.7630836543252963,-1.6187406562923017,-1.7827412007708394,2.0,0.6197544321691506
1099,2022-10-14,3035.034,3084.272,3035.034,3071.987,27730406100,-1.4225725512100649,-1.613364000082434,-1.3591440623350874,-1.613364000082434,2.0,-1.0761113246898546
1100,2022-10-17,3060.518,3087.194,3052.715,3084.942,26260861800,-1.3445854158043151,-1.4706043807084,-1.3329659141271128,-1.5108650252853142,2.0,-3.481005477574628
1101,2022-10-18,3094.927,3099.918,3074.216,3080.957,24563475700,-1.354255482471569,-1.2821869811416775,-1.2564393870015576,-1.3890309847954618,2.0,-3.397450856990214
1102,2022-10-19,3073.262,3081.39,3044.378,3044.378,23089531000,-1.528735968568447,-1.3801327724484869,-1.3383156149196478,-1.528735968568447,2.0,-1.473995673336237
1103,2022-10-20,3029.303,3070.265,3013.693,3035.05,24473614500,-1.562433764295179,-1.5919367156725712,-1.3816531078214012,-1.672072625016761,2.0,-1.71815950313835
1104,2022-10-21,3038.036,3055.416,3026.96,3038.929,24525412200,-1.529229938639153,-1.5338082189696285,-1.4447035021234236,-1.590593250257808,2.0,-4.047577287919535
1105,2022-10-24,3034.746,3064.421,2965.168,2977.555,29808535600,-1.8253714878655545,-1.5331252897312817,-1.381485942113048,-1.8886690986135588,2.0,-2.8235246704090944
1106,2022-10-25,2969.156,3001.715,2944.261,2976.283,25555416000,-1.81256565918269,-1.8488299139920177,-1.6831602251556324,-1.9755029353864644,2.0,-0.2379814016341908
1107,2022-10-26,2977.564,3028.348,2977.564,2999.504,26868949200,-1.6781247666631511,-1.7894346961685488,-1.5317882303525914,-1.7894346961685488,2.0,0.1288879761453865
1108,2022-10-27,3005.037,3017.263,2981.689,2982.903,26560825400,-1.744747979447185,-1.6328396937899814,-1.5710257107573171,-1.750885896623829,2.0,0.4996139666626931
